он	она
мужчина	женщина
кот	кошка
пес	собака
дед	бабка
дедушка	бабушка
дедом	бабкой
сказал	сказала
вышел	вышла
парень	девушка
парнем	девушкой
конь	лошадь
бык	корова
быком	коровой
коня	лошади
дедушку	бабушку
дедушкой	бабушкой
его	ее
котик	киска
щенок	собачка
щенком	собачкой
подумал	подумала
кинул	кинула
дядька	тетка
решил	решила
задумал	задумала
император	императрица
принц	принцесса
принцем	принцессой
скользил	скользила
проскользил	проскользила
красивый	красивая
старший	старшая
сынок	доченька
тесть	теща
играл	играла
возил	возила
отвез	отвезла
прыгал	прыгала
прыгнул	прыгнула
шагнул	шагнула
бежал	бежала
полз	ползла
отчим	мачеха
царь	царица
царем	царицей
умный	умная
веселый	веселая
веселого	веселой
шумный	шумная
простой	простая
обычный	обычная
молодой	молодая
молодого	молодую
юного	юную
смущался	смущалась
бедный	бедная
длинный	длинная
веселого	веселой
тихий	тихая
тихим	тихой
братик	сестричка
брат	сестра
земляк	землячка
поэт	поэтесса
доктор	докторша
учитель	учительница
учил	учила
научил	научила
смотрел	смотрела
подглядывал	подглядывала
выучил	выучила
взошел	взошла
выкатился	выкатилась
папой	мамой
мамой	мамой
старик	старуха
старуха	старуха
идти	идти
папа	мама
отец	мать
сын	дочь
королева	королева
принцесса	принцесса
доволен	довольна
довольным	довольной
быстрый	быстрая
счастлив	счастлива
одинок	одинока
жив	жива
жил	жила
танцующий	танцующая
радостный	радостная
выяснил	выяснила
счастье	счастье
работа	работа
часы	часы
машина	машина
гусь	утка
прибежал	прибежала
прибежала	прибежала
котом	кошкой
кошкой	кошкой
конем	лошадью
дядьки	тетки
русский	русская
русская	русская
мышонок	мышка
красавец	красавица
хохотал	хохотала
хохотала	хохотала
барабанщик	барабанщица
барабанщица	барабанщица
вечер	вечер
искать	искать
будить	будить
козел	коза
солнце	солнце
вода	вода
парился	парилась
пробовал	пробовала
мужик	баба
красив	красива
красива	красива
весел	весела
весела	весела
петух	курица
курица	курица
червяк	червяк
муж	жена
племянник	племянница
купила	купила
купил	купила
найдя	найдя
даже	даже
ему	ей
дошел	дошла
какой	какая
удачи	удачи
в	в
на	на
за	за
от	от
под	под
новом	новой
к	к
новый	новая
